Name,Short description,Last price,New price,Image name
Apple iPhone 15 Pro Max 512 ГБ Синий Титан,"6.7"" | 48 Мп | 8 ГБ | Single SIM",38 999 лей,37 499 лей,darwin-apple-iphone-15-pro-max-512-gb-blue-titanium-314213.jpg
Apple iPhone 15 Pro Max 256 ГБ Натуральный Титан,"6.7"" | 48 Мп | 8 ГБ | Single SIM",33 999 лей,32 399 лей,darwin-apple-iphone-15-pro-max-256-gb-natural-titanium-314232.jpg
Apple iPhone 15 Pro Max 256 ГБ Синий Титан,"6.7"" | 48 Мп | 8 ГБ | Single SIM",33 999 лей,32 399 лей,darwin-apple-iphone-15-pro-max-256-gb-blue-titanium-314236.jpg
Apple iPhone 15 Pro Max 256 ГБ Черный Титан,"6.7"" | 48 Мп | 8 ГБ | Single SIM",33 999 лей,32 399 лей,darwin-apple-iphone-15-pro-max-256-gb-black-titanium-314241.jpg
Apple iPhone 15 Pro Max 1 ТБ Белый Титан,"6.7"" | 48 Мп | 8 ГБ | Single SIM",None,42 499 лей,darwin-apple-iphone-15-pro-max-1-tb-white-titanium-314246.jpg
Apple iPhone 15 Pro Max 1 ТБ Синий Титан,"6.7"" | 48 Мп | 8 ГБ | Single SIM",43 999 лей,42 499 лей,darwin-apple-iphone-15-pro-max-1-tb-blue-titanium-314256.jpg
Apple iPhone 15 Plus 256 ГБ Желтый,"6.7"" | 48 Мп | 6 ГБ | Single SIM",None,26 499 лей,darwin-apple-iphone-15-plus-256-gb-yellow-314322.jpg
Apple iPhone 15 Plus 256 ГБ Зелёный,"6.7"" | 48 Мп | 6 ГБ | Single SIM",None,26 499 лей,darwin-apple-iphone-15-plus-256-gb-green-314342.jpg
Apple iPhone 15 Plus 256 ГБ Черный,"6.7"" | 48 Мп | 6 ГБ | Single SIM",None,26 499 лей,darwin-apple-iphone-15-plus-256-gb-black-314354.jpg
Apple iPhone 15 Pro 1 ТБ Синий Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",None,39 499 лей,darwin-apple-iphone-15-pro-1-tb-titanium-blue-314619.jpg
Apple iPhone 15 Pro 1 ТБ Белый Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",None,39 499 лей,darwin-apple-iphone-15-pro-1-tb-titanium-white-314606.jpg
Apple iPhone 15 Pro 128 ГБ Черный Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",27 999 лей,26 999 лей,darwin-apple-iphone-15-pro-128-gb-titanium-black-314600.jpg
Apple iPhone 15 Pro 128 ГБ Синий Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",27 999 лей,26 999 лей,darwin-apple-iphone-15-pro-128-gb-titanium-blue-314595.jpg
Apple iPhone 15 Pro 128 ГБ Натуральный Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",27 999 лей,26 999 лей,darwin-apple-iphone-15-pro-128-gb-titanium-natural-314590.jpg
Apple iPhone 15 Pro 128 ГБ Белый Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",27 999 лей,26 999 лей,darwin-apple-iphone-15-pro-128-gb-titanium-white-314583.jpg
Apple iPhone 15 Pro 256 ГБ Черный Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",30 699 лей,29 499 лей,darwin-apple-iphone-15-pro-256-gb-titanium-black-314578.jpg
Apple iPhone 15 Pro 256 ГБ Синий Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",30 699 лей,29 499 лей,darwin-apple-iphone-15-pro-256-gb-titanium-blue-314573.jpg
Apple iPhone 15 Pro 256 ГБ Натуральный Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",30 699 лей,29 499 лей,darwin-apple-iphone-15-pro-256-gb-titanium-natural-314568.jpg
Apple iPhone 15 Pro 256 ГБ Белый Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",30 699 лей,29 499 лей,darwin-apple-iphone-15-pro-256-gb-titanium-white-314563.jpg
Apple iPhone 15 Pro 512 ГБ Черный Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",34 999 лей,34 499 лей,darwin-apple-iphone-15-pro-512-gb-titanium-black-314558.jpg
Apple iPhone 15 Pro 512 ГБ Синий Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",34 999 лей,34 499 лей,darwin-apple-iphone-15-pro-512-gb-titanium-blue-314553.jpg
Apple iPhone 15 Pro 512 ГБ Натуральный Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",34 999 лей,34 499 лей,darwin-apple-iphone-15-pro-512-gb-titanium-natural-314550.jpg
Apple iPhone 15 Pro 1 ТБ Черный Титан,"6.1"" | 48 Мп | 8 ГБ | Single SIM",None,39 499 лей,darwin-apple-iphone-15-pro-1-tb-titanium-black-314543.jpg
Apple iPhone 15 Plus 128 ГБ Желтый,"6.7"" | 48 Мп | 6 ГБ | Single SIM",None,23 999 лей,darwin-apple-iphone-15-plus-128-gb-yellow-314360.jpg
Apple iPhone 15 Plus 128 ГБ Розовый,"6.7"" | 48 Мп | 6 ГБ | Single SIM",None,23 999 лей,darwin-apple-iphone-15-plus-128-gb-pink-314365.jpg
Apple iPhone 15 Plus 128 ГБ Зелёный,"6.7"" | 48 Мп | 6 ГБ | Single SIM",None,23 999 лей,darwin-apple-iphone-15-plus-128-gb-green-314370.jpg
Apple iPhone 15 Plus 128 ГБ Синий,"6.7"" | 48 Мп | 6 ГБ | Single SIM",None,23 999 лей,darwin-apple-iphone-15-plus-128-gb-blue-314374.jpg
Apple iPhone 15 Plus 128 ГБ Черный,"6.7"" | 48 Мп | 6 ГБ | Single SIM",None,23 999 лей,darwin-apple-iphone-15-plus-128-gb-black-314290.jpg
Apple iPhone 15 512 ГБ Розовый,"6.1"" | 48 Мп | 6 ГБ | Single SIM",None,28 999 лей,darwin-apple-iphone-15-512-gb-pink-314398.jpg
Apple iPhone 15 256 ГБ Розовый,"6.1"" | 48 Мп | 6 ГБ | Single SIM",None,23 999 лей,darwin-apple-iphone-15-256-gb-pink-314433.jpg
Apple iPhone 15 256 ГБ Зелёный,"6.1"" | 48 Мп | 6 ГБ | Single SIM",None,23 999 лей,darwin-apple-iphone-15-256-gb-green-314438.jpg
Apple iPhone 15 256 ГБ Синий,"6.1"" | 48 Мп | 6 ГБ | Single SIM",None,23 999 лей,darwin-apple-iphone-15-256-gb-blue-314443.jpg
Apple iPhone 15 256 ГБ Черный,"6.1"" | 48 Мп | 6 ГБ | Single SIM",None,23 999 лей,darwin-apple-iphone-15-256-gb-black-314448.jpg
Apple iPhone 15 128 ГБ Желтый,"6.1"" | 48 Мп | 6 ГБ | Single SIM",None,20 999 лей,darwin-apple-iphone-15-128-gb-yellow-314454.jpg
